match_id,side,lineup_strength,known_share
28778,a,0.2649395335355776,0.998991935483871
28778,h,0.4197850003977491,1.0
28779,a,0.25471878358606054,1.0
28779,h,0.23770586722661244,1.0
28780,a,0.22540945906465198,1.0
28780,h,0.26833141656469756,0.9090909090909091
28781,a,0.19596043197585364,0.9090909090909091
28781,h,0.2048622381041265,0.40060544904137235
28782,a,0.1477041137041293,0.2494949494949495
28782,h,0.24616451484331717,1.0
28783,a,0.2944156606340869,0.9090909090909091
28783,h,0.18641751485258762,0.896969696969697
28784,a,0.2916031591630166,1.0
28784,h,0.2946316764697879,0.9666666666666667
28785,a,0.211461111304975,0.9313824419778002
28785,h,0.21943287770158124,0.9929292929292929
28786,a,0.33278603780405547,0.9383838383838384
28786,h,0.2995963499047699,1.0
28787,a,0.2164401640600696,1.0
28787,h,0.13751461041346347,0.2976791120080727
28788,a,0.2467290344703542,0.901010101010101
28788,h,0.2137293281968677,0.8707070707070707
28789,a,0.2583412652234919,1.0
28789,h,0.32442499370939815,0.9090909090909091
28790,a,0.2563262567050658,1.0
28790,h,0.2684972314930739,0.9193548387096774
28791,a,0.1862713014645731,0.45454545454545453
28791,h,0.19048319083574972,0.33198789101917253
28792,a,0.18069064653900632,0.8417190775681341
28792,h,0.26144503798152535,0.998991935483871
28793,a,0.16983077906174032,0.3525252525252525
28793,h,0.28079782331031006,0.8858585858585859
28794,a,0.22485669323105908,0.998989898989899
28794,h,0.27233753000739075,1.0
28795,a,0.278544614155433,0.9303030303030303
28795,h,0.22014665046680038,1.0
28796,a,0.31007043628399483,1.0
28796,h,0.22123145425094562,1.0
28797,a,0.4094563672015229,0.998992950654582
28797,h,0.24040648690910627,1.0
28798,a,0.22327746130164702,1.0
28798,h,0.2439123801720002,0.9213709677419355
28799,a,0.26888113095003213,0.9939393939393939
28799,h,0.24757715194878943,1.0
28800,a,0.203594953374199,1.0
28800,h,0.13858711050755937,0.8303030303030303
28801,a,0.2699816194776046,0.9263370332996973
28801,h,0.18321036330835433,0.5686868686868687
28802,a,0.21303538032408795,0.37399193548387094
28802,h,0.299477499980317,1.0
28803,a,0.2200511968109874,1.0
28803,h,0.20874164921690436,0.4808080808080808
28804,a,0.2317793743675107,0.9090909090909091
28804,h,0.2177511218884762,0.9838709677419355
28805,a,0.3358354954270401,0.9092741935483871
28805,h,0.2539663025499474,0.9091826437941474
28806,a,0.2684075757529217,0.9081735620585267
28806,h,0.40531649248067114,1.0
28807,a,0.2599014844450587,1.0
28807,h,0.2975366357557103,0.9878787878787879
28808,a,0.22420315631057544,1.0
28808,h,0.2599513112976525,0.9242424242424242
28809,a,0.13041527480362,0.8181818181818182
