model,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,mkt_home,mkt_draw,mkt_away,odds_source,as_of,p_home,p_draw,p_away
dixon-coles,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.1225,0.1905,0.6871
elo-poisson,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.1521,0.217,0.6309
gbm,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.2715,0.2235,0.505
xg-dixon-coles,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.136,0.2069,0.6572
ensemble,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.1641,0.2119,0.6241
dixon-coles,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.4797,0.2569,0.2634
elo-poisson,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5034,0.2517,0.2449
gbm,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5878,0.2244,0.1878
xg-dixon-coles,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5308,0.2446,0.2246
ensemble,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5258,0.245,0.2292
dixon-coles,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7678,0.1463,0.086
elo-poisson,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7331,0.1679,0.099
gbm,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7048,0.1376,0.1576
xg-dixon-coles,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7542,0.1532,0.0926
ensemble,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7426,0.1515,0.106
dixon-coles,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.6879,0.1943,0.1178
elo-poisson,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.5911,0.2267,0.1822
gbm,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.6442,0.2048,0.151
xg-dixon-coles,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.7221,0.1775,0.1003
ensemble,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.6636,0.2013,0.1351
dixon-coles,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3027,0.2556,0.4417
elo-poisson,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3588,0.2695,0.3717
gbm,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3796,0.2339,0.3865
xg-dixon-coles,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3114,0.2618,0.4268
ensemble,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3376,0.2556,0.4068
dixon-coles,E0,2023-08-12,Sheffield United,Crystal Palace,0,1,0.2457,0.3037,0.4506,PSCH,2023-07-28,0.3331,0.2995,0.3674
elo-poisson,E0,2023-08-12,Sheffield United,Crystal Palace,0,1,0.2457,0.3037,0.4506,PSCH,2023-07-28,0.3861,0.2687,0.3452
gbm,E0,2023-08-12,Sheffield United,Crystal Palace,0,1,0.2457,0.3037,0.4506,PSCH,2023-07-28,0.3414,0.28,0.3786
xg-dixon-coles,E0,2023-08-12,Sheffield United,Crystal Palace,0,1,0.2457,0.3037,0.4506,PSCH,2023-07-28,0.3225,0.3077,0.3698
ensemble,E0,2023-08-12,Sheffield United,Crystal Palace,0,1,0.2457,0.3037,0.4506,PSCH,2023-07-28,0.3454,0.289,0.3656
dixon-coles,E0,2023-08-12,Everton,Fulham,0,1,0.4091,0.2945,0.2963,PSCH,2023-07-28,0.352,0.2679,0.3801
elo-poisson,E0,2023-08-12,Everton,Fulham,0,1,0.4091,0.2945,0.2963,PSCH,2023-07-28,0.3323,0.2689,0.3989
gbm,E0,2023-08-12,Everton,Fulham,0,1,0.4091,0.2945,0.2963,PSCH,2023-07-28,0.3957,0.3021,0.3022
xg-dixon-coles,E0,2023-08-12,Everton,Fulham,0,1,0.4091,0.2945,0.2963,PSCH,2023-07-28,0.3935,0.2548,0.3518
ensemble,E0,2023-08-12,Everton,Fulham,0,1,0.4091,0.2945,0.2963,PSCH,2023-07-28,0.3686,0.2738,0.3576
dixon-coles,E0,2023-08-13,Brentford,Tottenham,2,2,0.3737,0.2766,0.3497,PSCH,2023-07-28,0.3628,0.2401,0.3971
elo-poisson,E0,2023-08-13,Brentford,Tottenham,2,2,0.3737,0.2766,0.3497,PSCH,2023-07-28,0.4349,0.2642,0.3009
gbm,E0,2023-08-13,Brentford,Tottenham,2,2,0.3737,0.2766,0.3497,PSCH,2023-07-28,0.3433,0.3028,0.354
xg-dixon-coles,E0,2023-08-13,Brentford,Tottenham,2,2,0.3737,0.2766,0.3497,PSCH,2023-07-28,0.4169,0.247,0.3361
ensemble,E0,2023-08-13,Brentford,Tottenham,2,2,0.3737,0.2766,0.3497,PSCH,2023-07-28,0.3895,0.2636,0.3469
dixon-coles,E0,2023-08-13,Chelsea,Liverpool,1,1,0.3045,0.2513,0.4443,PSCH,2023-07-28,0.2882,0.2543,0.4575
elo-poisson,E0,2023-08-13,Chelsea,Liverpool,1,1,0.3045,0.2513,0.4443,PSCH,2023-07-28,0.2248,0.25,0.5252
gbm,E0,2023-08-13,Chelsea,Liverpool,1,1,0.3045,0.2513,0.4443,PSCH,2023-07-28,0.2774,0.2061,0.5165
xg-dixon-coles,E0,2023-08-13,Chelsea,Liverpool,1,1,0.3045,0.2513,0.4443,PSCH,2023-07-28,0.3058,0.2475,0.4468
ensemble,E0,2023-08-13,Chelsea,Liverpool,1,1,0.3045,0.2513,0.4443,PSCH,2023-07-28,0.2733,0.2396,0.4871
dixon-coles,E0,2023-08-14,Man United,Wolves,1,0,0.7661,0.1544,0.0794,PSCH,2023-07-28,0.6028,0.2361,0.161
elo-poisson,E0,2023-08-14,Man United,Wolves,1,0,0.7661,0.1544,0.0794,PSCH,2023-07-28,0.6374,0.2099,0.1527
gbm,E0,2023-08-14,Man United,Wolves,1,0,0.7661,0.1544,0.0794,PSCH,2023-07-28,0.7739,0.1473,0.0788
xg-dixon-coles,E0,2023-08-14,Man United,Wolves,1,0,0.7661,0.1544,0.0794,PSCH,2023-07-28,0.6568,0.2088,0.1343
ensemble,E0,2023-08-14,Man United,Wolves,1,0,0.7661,0.1544,0.0794,PSCH,2023-07-28,0.6719,0.1997,0.1284
dixon-coles,E0,2023-08-18,Nott'm Forest,Sheffield United,2,1,0.5036,0.2783,0.2181,PSCH,2023-07-28,0.372,0.2926,0.3354
elo-poisson,E0,2023-08-18,Nott'm Forest,Sheffield United,2,1,0.5036,0.2783,0.2181,PSCH,2023-07-28,0.3983,0.268,0.3338
gbm,E0,2023-08-18,Nott'm Forest,Sheffield United,2,1,0.5036,0.2783,0.2181,PSCH,2023-07-28,0.3534,0.2202,0.4264
xg-dixon-coles,E0,2023-08-18,Nott'm Forest,Sheffield United,2,1,0.5036,0.2783,0.2181,PSCH,2023-07-28,0.3947,0.2897,0.3156
ensemble,E0,2023-08-18,Nott'm Forest,Sheffield United,2,1,0.5036,0.2783,0.2181,PSCH,2023-07-28,0.3809,0.2672,0.3519
dixon-coles,E0,2023-08-19,Wolves,Brighton,1,4,0.2368,0.2312,0.5319,PSCH,2023-07-28,0.2857,0.2766,0.4378
elo-poisson,E0,2023-08-19,Wolves,Brighton,1,4,0.2368,0.2312,0.5319,PSCH,2023-07-28,0.3053,0.2668,0.4279
gbm,E0,2023-08-19,Wolves,Brighton,1,4,0.2368,0.2312,0.5319,PSCH,2023-07-28,0.2552,0.2284,0.5164
xg-dixon-coles,E0,2023-08-19,Wolves,Brighton,1,4,0.2368,0.2312,0.5319,PSCH,2023-07-28,0.2236,0.2465,0.5299
ensemble,E0,2023-08-19,Wolves,Brighton,1,4,0.2368,0.2312,0.5319,PSCH,2023-07-28,0.2669,0.2551,0.4781
dixon-coles,E0,2023-08-19,Liverpool,Bournemouth,3,1,0.8079,0.1175,0.0746,PSCH,2023-07-28,0.8063,0.1253,0.0683
elo-poisson,E0,2023-08-19,Liverpool,Bournemouth,3,1,0.8079,0.1175,0.0746,PSCH,2023-07-28,0.7718,0.1483,0.0799
gbm,E0,2023-08-19,Liverpool,Bournemouth,3,1,0.8079,0.1175,0.0746,PSCH,2023-07-28,0.7873,0.1179,0.0948
xg-dixon-coles,E0,2023-08-19,Liverpool,Bournemouth,3,1,0.8079,0.1175,0.0746,PSCH,2023-07-28,0.7866,0.1345,0.0788
ensemble,E0,2023-08-19,Liverpool,Bournemouth,3,1,0.8079,0.1175,0.0746,PSCH,2023-07-28,0.7888,0.1312,0.08
dixon-coles,E0,2023-08-19,Fulham,Brentford,0,3,0.3407,0.3037,0.3556,PSCH,2023-07-28,0.3987,0.2602,0.3411
elo-poisson,E0,2023-08-19,Fulham,Brentford,0,3,0.3407,0.3037,0.3556,PSCH,2023-07-28,0.3431,0.2693,0.3876
gbm,E0,2023-08-19,Fulham,Brentford,0,3,0.3407,0.3037,0.3556,PSCH,2023-07-28,0.3376,0.277,0.3854
xg-dixon-coles,E0,2023-08-19,Fulham,Brentford,0,3,0.3407,0.3037,0.3556,PSCH,2023-07-28,0.35,0.2573,0.3927
ensemble,E0,2023-08-19,Fulham,Brentford,0,3,0.3407,0.3037,0.3556,PSCH,2023-07-28,0.3571,0.2662,0.3767
dixon-coles,E0,2023-08-19,Tottenham,Man United,2,0,0.3185,0.2527,0.4288,PSCH,2023-07-28,0.4503,0.2314,0.3183
elo-poisson,E0,2023-08-19,Tottenham,Man United,2,0,0.3185,0.2527,0.4288,PSCH,2023-07-28,0.3564,0.2695,0.3741
gbm,E0,2023-08-19,Tottenham,Man United,2,0,0.3185,0.2527,0.4288,PSCH,2023-07-28,0.3196,0.2211,0.4593
xg-dixon-coles,E0,2023-08-19,Tottenham,Man United,2,0,0.3185,0.2527,0.4288,PSCH,2023-07-28,0.4256,0.2358,0.3386
ensemble,E0,2023-08-19,Tottenham,Man United,2,0,0.3185,0.2527,0.4288,PSCH,2023-07-28,0.3875,0.2407,0.3718
dixon-coles,E0,2023-08-19,Man City,Newcastle,1,0,0.5222,0.2543,0.2235,PSCH,2023-07-28,0.717,0.1709,0.1121
elo-poisson,E0,2023-08-19,Man City,Newcastle,1,0,0.5222,0.2543,0.2235,PSCH,2023-07-28,0.6482,0.2056,0.1462
gbm,E0,2023-08-19,Man City,Newcastle,1,0,0.5222,0.2543,0.2235,PSCH,2023-07-28,0.6971,0.1162,0.1867
xg-dixon-coles,E0,2023-08-19,Man City,Newcastle,1,0,0.5222,0.2543,0.2235,PSCH,2023-07-28,0.6589,0.1965,0.1446
ensemble,E0,2023-08-19,Man City,Newcastle,1,0,0.5222,0.2543,0.2235,PSCH,2023-07-28,0.6845,0.1695,0.146
dixon-coles,E0,2023-08-20,West Ham,Chelsea,3,1,0.301,0.268,0.431,PSCH,2023-07-28,0.3491,0.2712,0.3797
elo-poisson,E0,2023-08-20,West Ham,Chelsea,3,1,0.301,0.268,0.431,PSCH,2023-07-28,0.3755,0.2692,0.3553
gbm,E0,2023-08-20,West Ham,Chelsea,3,1,0.301,0.268,0.431,PSCH,2023-07-28,0.3034,0.3266,0.3701
xg-dixon-coles,E0,2023-08-20,West Ham,Chelsea,3,1,0.301,0.268,0.431,PSCH,2023-07-28,0.364,0.2704,0.3656
ensemble,E0,2023-08-20,West Ham,Chelsea,3,1,0.301,0.268,0.431,PSCH,2023-07-28,0.3476,0.284,0.3684
dixon-coles,E0,2023-08-20,Aston Villa,Everton,4,0,0.5279,0.2491,0.223,PSCH,2023-07-28,0.5415,0.2508,0.2077
elo-poisson,E0,2023-08-20,Aston Villa,Everton,4,0,0.5279,0.2491,0.223,PSCH,2023-07-28,0.6137,0.2188,0.1675
gbm,E0,2023-08-20,Aston Villa,Everton,4,0,0.5279,0.2491,0.223,PSCH,2023-07-28,0.6271,0.2046,0.1682
xg-dixon-coles,E0,2023-08-20,Aston Villa,Everton,4,0,0.5279,0.2491,0.223,PSCH,2023-07-28,0.5443,0.245,0.2107
ensemble,E0,2023-08-20,Aston Villa,Everton,4,0,0.5279,0.2491,0.223,PSCH,2023-07-28,0.5822,0.2298,0.188
dixon-coles,E0,2023-08-21,Crystal Palace,Arsenal,0,1,0.2167,0.2769,0.5064,PSCH,2023-07-28,0.2479,0.2435,0.5086
elo-poisson,E0,2023-08-21,Crystal Palace,Arsenal,0,1,0.2167,0.2769,0.5064,PSCH,2023-07-28,0.2191,0.2481,0.5329
gbm,E0,2023-08-21,Crystal Palace,Arsenal,0,1,0.2167,0.2769,0.5064,PSCH,2023-07-28,0.2758,0.2135,0.5107
xg-dixon-coles,E0,2023-08-21,Crystal Palace,Arsenal,0,1,0.2167,0.2769,0.5064,PSCH,2023-07-28,0.2577,0.2556,0.4867
ensemble,E0,2023-08-21,Crystal Palace,Arsenal,0,1,0.2167,0.2769,0.5064,PSCH,2023-07-28,0.2497,0.24,0.5103
dixon-coles,E0,2023-08-25,Chelsea,Luton,3,0,0.7664,0.1557,0.0779,PSCH,2023-08-25,0.6907,0.2004,0.1089
elo-poisson,E0,2023-08-25,Chelsea,Luton,3,0,0.7664,0.1557,0.0779,PSCH,2023-08-25,0.5375,0.2424,0.22
gbm,E0,2023-08-25,Chelsea,Luton,3,0,0.7664,0.1557,0.0779,PSCH,2023-08-25,0.5557,0.2328,0.2115
xg-dixon-coles,E0,2023-08-25,Chelsea,Luton,3,0,0.7664,0.1557,0.0779,PSCH,2023-08-25,0.6642,0.2148,0.1211
ensemble,E0,2023-08-25,Chelsea,Luton,3,0,0.7664,0.1557,0.0779,PSCH,2023-08-25,0.6159,0.2247,0.1593
dixon-coles,E0,2023-08-26,Bournemouth,Tottenham,0,2,0.2815,0.2511,0.4674,PSCH,2023-08-25,0.2144,0.2104,0.5753
elo-poisson,E0,2023-08-26,Bournemouth,Tottenham,0,2,0.2815,0.2511,0.4674,PSCH,2023-08-25,0.2506,0.2573,0.4921
gbm,E0,2023-08-26,Bournemouth,Tottenham,0,2,0.2815,0.2511,0.4674,PSCH,2023-08-25,0.2549,0.1947,0.5503
xg-dixon-coles,E0,2023-08-26,Bournemouth,Tottenham,0,2,0.2815,0.2511,0.4674,PSCH,2023-08-25,0.2388,0.2274,0.5338
ensemble,E0,2023-08-26,Bournemouth,Tottenham,0,2,0.2815,0.2511,0.4674,PSCH,2023-08-25,0.2397,0.2218,0.5384
dixon-coles,E0,2023-08-26,Arsenal,Fulham,2,2,0.7518,0.1542,0.094,PSCH,2023-08-25,0.6585,0.1865,0.155
elo-poisson,E0,2023-08-26,Arsenal,Fulham,2,2,0.7518,0.1542,0.094,PSCH,2023-08-25,0.6639,0.1985,0.1376
gbm,E0,2023-08-26,Arsenal,Fulham,2,2,0.7518,0.1542,0.094,PSCH,2023-08-25,0.6771,0.1752,0.1477
xg-dixon-coles,E0,2023-08-26,Arsenal,Fulham,2,2,0.7518,0.1542,0.094,PSCH,2023-08-25,0.6922,0.1724,0.1353
ensemble,E0,2023-08-26,Arsenal,Fulham,2,2,0.7518,0.1542,0.094,PSCH,2023-08-25,0.6732,0.183,0.1438
dixon-coles,E0,2023-08-26,Brentford,Crystal Palace,1,1,0.4529,0.2903,0.2568,PSCH,2023-08-25,0.4758,0.272,0.2522
elo-poisson,E0,2023-08-26,Brentford,Crystal Palace,1,1,0.4529,0.2903,0.2568,PSCH,2023-08-25,0.5508,0.2387,0.2105
gbm,E0,2023-08-26,Brentford,Crystal Palace,1,1,0.4529,0.2903,0.2568,PSCH,2023-08-25,0.6242,0.2377,0.1381
xg-dixon-coles,E0,2023-08-26,Brentford,Crystal Palace,1,1,0.4529,0.2903,0.2568,PSCH,2023-08-25,0.5003,0.2713,0.2284
ensemble,E0,2023-08-26,Brentford,Crystal Palace,1,1,0.4529,0.2903,0.2568,PSCH,2023-08-25,0.5394,0.2565,0.204
dixon-coles,E0,2023-08-26,Everton,Wolves,0,1,0.3992,0.2893,0.3115,PSCH,2023-08-25,0.3998,0.2981,0.3022
elo-poisson,E0,2023-08-26,Everton,Wolves,0,1,0.3992,0.2893,0.3115,PSCH,2023-08-25,0.3824,0.2685,0.3491
gbm,E0,2023-08-26,Everton,Wolves,0,1,0.3992,0.2893,0.3115,PSCH,2023-08-25,0.5341,0.2163,0.2496
xg-dixon-coles,E0,2023-08-26,Everton,Wolves,0,1,0.3992,0.2893,0.3115,PSCH,2023-08-25,0.4505,0.2733,0.2762
ensemble,E0,2023-08-26,Everton,Wolves,0,1,0.3992,0.2893,0.3115,PSCH,2023-08-25,0.4414,0.2643,0.2943
dixon-coles,E0,2023-08-26,Man United,Nott'm Forest,3,2,0.703,0.183,0.114,PSCH,2023-08-25,0.6707,0.1994,0.1299
elo-poisson,E0,2023-08-26,Man United,Nott'm Forest,3,2,0.703,0.183,0.114,PSCH,2023-08-25,0.6559,0.2018,0.1423
gbm,E0,2023-08-26,Man United,Nott'm Forest,3,2,0.703,0.183,0.114,PSCH,2023-08-25,0.7354,0.1499,0.1148
xg-dixon-coles,E0,2023-08-26,Man United,Nott'm Forest,3,2,0.703,0.183,0.114,PSCH,2023-08-25,0.6635,0.1983,0.1382
ensemble,E0,2023-08-26,Man United,Nott'm Forest,3,2,0.703,0.183,0.114,PSCH,2023-08-25,0.6824,0.1864,0.1312
dixon-coles,E0,2023-08-26,Brighton,West Ham,1,3,0.6481,0.1964,0.1555,PSCH,2023-08-25,0.5128,0.2316,0.2556
elo-poisson,E0,2023-08-26,Brighton,West Ham,1,3,0.6481,0.1964,0.1555,PSCH,2023-08-25,0.5356,0.243,0.2214
gbm,E0,2023-08-26,Brighton,West Ham,1,3,0.6481,0.1964,0.1555,PSCH,2023-08-25,0.6246,0.2193,0.1561
xg-dixon-coles,E0,2023-08-26,Brighton,West Ham,1,3,0.6481,0.1964,0.1555,PSCH,2023-08-25,0.5794,0.2083,0.2122
ensemble,E0,2023-08-26,Brighton,West Ham,1,3,0.6481,0.1964,0.1555,PSCH,2023-08-25,0.5644,0.2263,0.2092
dixon-coles,E0,2023-08-27,Burnley,Aston Villa,1,3,0.3017,0.2715,0.4268,PSCH,2023-08-25,0.3574,0.2738,0.3688
elo-poisson,E0,2023-08-27,Burnley,Aston Villa,1,3,0.3017,0.2715,0.4268,PSCH,2023-08-25,0.3842,0.2684,0.3474
gbm,E0,2023-08-27,Burnley,Aston Villa,1,3,0.3017,0.2715,0.4268,PSCH,2023-08-25,0.3341,0.2936,0.3723
xg-dixon-coles,E0,2023-08-27,Burnley,Aston Villa,1,3,0.3017,0.2715,0.4268,PSCH,2023-08-25,0.3633,0.2743,0.3624
ensemble,E0,2023-08-27,Burnley,Aston Villa,1,3,0.3017,0.2715,0.4268,PSCH,2023-08-25,0.3596,0.2776,0.3629
dixon-coles,E0,2023-08-27,Sheffield United,Man City,1,2,0.0606,0.1311,0.8083,PSCH,2023-08-25,0.0804,0.1564,0.7632
elo-poisson,E0,2023-08-27,Sheffield United,Man City,1,2,0.0606,0.1311,0.8083,PSCH,2023-08-25,0.0881,0.167,0.7449
gbm,E0,2023-08-27,Sheffield United,Man City,1,2,0.0606,0.1311,0.8083,PSCH,2023-08-25,0.2201,0.192,0.5879
xg-dixon-coles,E0,2023-08-27,Sheffield United,Man City,1,2,0.0606,0.1311,0.8083,PSCH,2023-08-25,0.0835,0.1671,0.7494
ensemble,E0,2023-08-27,Sheffield United,Man City,1,2,0.0606,0.1311,0.8083,PSCH,2023-08-25,0.1085,0.1728,0.7187
dixon-coles,E0,2023-08-27,Newcastle,Liverpool,1,2,0.4366,0.2489,0.3145,PSCH,2023-08-25,0.3099,0.2434,0.4466
elo-poisson,E0,2023-08-27,Newcastle,Liverpool,1,2,0.4366,0.2489,0.3145,PSCH,2023-08-25,0.3421,0.269,0.3889
gbm,E0,2023-08-27,Newcastle,Liverpool,1,2,0.4366,0.2489,0.3145,PSCH,2023-08-25,0.3078,0.2668,0.4254
xg-dixon-coles,E0,2023-08-27,Newcastle,Liverpool,1,2,0.4366,0.2489,0.3145,PSCH,2023-08-25,0.4021,0.2362,0.3616
ensemble,E0,2023-08-27,Newcastle,Liverpool,1,2,0.4366,0.2489,0.3145,PSCH,2023-08-25,0.3397,0.2544,0.4059
dixon-coles,E0,2023-09-01,Luton,West Ham,1,2,0.2085,0.2381,0.5533,PSCH,2023-08-25,0.2211,0.2505,0.5284
elo-poisson,E0,2023-09-01,Luton,West Ham,1,2,0.2085,0.2381,0.5533,PSCH,2023-08-25,0.343,0.269,0.388
gbm,E0,2023-09-01,Luton,West Ham,1,2,0.2085,0.2381,0.5533,PSCH,2023-08-25,0.3642,0.2799,0.3559
xg-dixon-coles,E0,2023-09-01,Luton,West Ham,1,2,0.2085,0.2381,0.5533,PSCH,2023-08-25,0.2398,0.2638,0.4964
ensemble,E0,2023-09-01,Luton,West Ham,1,2,0.2085,0.2381,0.5533,PSCH,2023-08-25,0.289,0.2691,0.4419
dixon-coles,E0,2023-09-02,Burnley,Tottenham,2,5,0.2633,0.2578,0.4789,PSCH,2023-08-25,0.2949,0.2419,0.4633
elo-poisson,E0,2023-09-02,Burnley,Tottenham,2,5,0.2633,0.2578,0.4789,PSCH,2023-08-25,0.3658,0.2691,0.3652
gbm,E0,2023-09-02,Burnley,Tottenham,2,5,0.2633,0.2578,0.4789,PSCH,2023-08-25,0.2911,0.2775,0.4315
xg-dixon-coles,E0,2023-09-02,Burnley,Tottenham,2,5,0.2633,0.2578,0.4789,PSCH,2023-08-25,0.3214,0.2519,0.4267
ensemble,E0,2023-09-02,Burnley,Tottenham,2,5,0.2633,0.2578,0.4789,PSCH,2023-08-25,0.318,0.2605,0.4215
dixon-coles,E0,2023-09-02,Brentford,Bournemouth,2,2,0.5566,0.2429,0.2004,PSCH,2023-08-25,0.6,0.2228,0.1772
elo-poisson,E0,2023-09-02,Brentford,Bournemouth,2,2,0.5566,0.2429,0.2004,PSCH,2023-08-25,0.6344,0.2103,0.1553
gbm,E0,2023-09-02,Brentford,Bournemouth,2,2,0.5566,0.2429,0.2004,PSCH,2023-08-25,0.7056,0.1938,0.1006
xg-dixon-coles,E0,2023-09-02,Brentford,Bournemouth,2,2,0.5566,0.2429,0.2004,PSCH,2023-08-25,0.6343,0.2123,0.1534
ensemble,E0,2023-09-02,Brentford,Bournemouth,2,2,0.5566,0.2429,0.2004,PSCH,2023-08-25,0.6453,0.2105,0.1442
dixon-coles,E0,2023-09-02,Sheffield United,Everton,2,2,0.3047,0.286,0.4093,PSCH,2023-08-25,0.4014,0.2904,0.3082
elo-poisson,E0,2023-09-02,Sheffield United,Everton,2,2,0.3047,0.286,0.4093,PSCH,2023-08-25,0.4638,0.2592,0.277
gbm,E0,2023-09-02,Sheffield United,Everton,2,2,0.3047,0.286,0.4093,PSCH,2023-08-25,0.3777,0.2961,0.3262
xg-dixon-coles,E0,2023-09-02,Sheffield United,Everton,2,2,0.3047,0.286,0.4093,PSCH,2023-08-25,0.392,0.2789,0.3291
ensemble,E0,2023-09-02,Sheffield United,Everton,2,2,0.3047,0.286,0.4093,PSCH,2023-08-25,0.4084,0.2814,0.3101
dixon-coles,E0,2023-09-02,Chelsea,Nott'm Forest,0,1,0.6905,0.1943,0.1152,PSCH,2023-08-25,0.6322,0.2221,0.1457
elo-poisson,E0,2023-09-02,Chelsea,Nott'm Forest,0,1,0.6905,0.1943,0.1152,PSCH,2023-08-25,0.5266,0.2454,0.228
gbm,E0,2023-09-02,Chelsea,Nott'm Forest,0,1,0.6905,0.1943,0.1152,PSCH,2023-08-25,0.5907,0.2395,0.1697
xg-dixon-coles,E0,2023-09-02,Chelsea,Nott'm Forest,0,1,0.6905,0.1943,0.1152,PSCH,2023-08-25,0.6043,0.2317,0.164
ensemble,E0,2023-09-02,Chelsea,Nott'm Forest,0,1,0.6905,0.1943,0.1152,PSCH,2023-08-25,0.5895,0.2355,0.1751
dixon-coles,E0,2023-09-02,Man City,Fulham,5,1,0.8131,0.1265,0.0605,PSCH,2023-08-25,0.8174,0.1198,0.0628
elo-poisson,E0,2023-09-02,Man City,Fulham,5,1,0.8131,0.1265,0.0605,PSCH,2023-08-25,0.8096,0.1272,0.0632
gbm,E0,2023-09-02,Man City,Fulham,5,1,0.8131,0.1265,0.0605,PSCH,2023-08-25,0.7357,0.1268,0.1375
xg-dixon-coles,E0,2023-09-02,Man City,Fulham,5,1,0.8131,0.1265,0.0605,PSCH,2023-08-25,0.8319,0.1128,0.0553
ensemble,E0,2023-09-02,Man City,Fulham,5,1,0.8131,0.1265,0.0605,PSCH,2023-08-25,0.8031,0.1223,0.0746
dixon-coles,E0,2023-09-02,Brighton,Newcastle,3,1,0.3702,0.2525,0.3773,PSCH,2023-08-25,0.4128,0.2487,0.3385
elo-poisson,E0,2023-09-02,Brighton,Newcastle,3,1,0.3702,0.2525,0.3773,PSCH,2023-08-25,0.3565,0.2692,0.3743
gbm,E0,2023-09-02,Brighton,Newcastle,3,1,0.3702,0.2525,0.3773,PSCH,2023-08-25,0.3843,0.3034,0.3124
xg-dixon-coles,E0,2023-09-02,Brighton,Newcastle,3,1,0.3702,0.2525,0.3773,PSCH,2023-08-25,0.4168,0.2342,0.3491
ensemble,E0,2023-09-02,Brighton,Newcastle,3,1,0.3702,0.2525,0.3773,PSCH,2023-08-25,0.3929,0.2633,0.3438
dixon-coles,E0,2023-09-03,Arsenal,Man United,3,1,0.5522,0.2314,0.2164,PSCH,2023-08-25,0.5245,0.2279,0.2475
elo-poisson,E0,2023-09-03,Arsenal,Man United,3,1,0.5522,0.2314,0.2164,PSCH,2023-08-25,0.5134,0.2487,0.2379
gbm,E0,2023-09-03,Arsenal,Man United,3,1,0.5522,0.2314,0.2164,PSCH,2023-08-25,0.5018,0.2729,0.2253
xg-dixon-coles,E0,2023-09-03,Arsenal,Man United,3,1,0.5522,0.2314,0.2164,PSCH,2023-08-25,0.5269,0.2233,0.2497
ensemble,E0,2023-09-03,Arsenal,Man United,3,1,0.5522,0.2314,0.2164,PSCH,2023-08-25,0.5171,0.2427,0.2402
dixon-coles,E0,2023-09-03,Crystal Palace,Wolves,3,2,0.5142,0.2706,0.2152,PSCH,2023-08-25,0.4665,0.2957,0.2378
elo-poisson,E0,2023-09-03,Crystal Palace,Wolves,3,2,0.5142,0.2706,0.2152,PSCH,2023-08-25,0.4841,0.2553,0.2606
gbm,E0,2023-09-03,Crystal Palace,Wolves,3,2,0.5142,0.2706,0.2152,PSCH,2023-08-25,0.576,0.2195,0.2045
xg-dixon-coles,E0,2023-09-03,Crystal Palace,Wolves,3,2,0.5142,0.2706,0.2152,PSCH,2023-08-25,0.5012,0.2856,0.2132
